x_pos,y_pos,x_comp,y_comp,amplitude,phase
0.0,0.0,-1.37,9.633333333,1.0,1.712063567040185
5.5,0.0,1.033333333,7.556666667,0.7838422347668011,1.4348946265757632
11.0,0.0,10.21666667,1.33,1.0588483259210444,0.12945146308047836
16.5,0.0,10.31666667,-4.353333333,1.1507962574910187,-0.3993021949789648
22.0,0.0,1.946666667,-4.963333333,0.5479229320061049,-1.1970238545496166
-5.5,0.0,-0.396666667,7.636666667,0.7858946787117326,1.6226920718397968
-11.0,0.0,8.373333333,3.966666667,0.9522223962704126,0.4424084473307484
-16.5,0.0,12.37666667,0.413333333,1.2726857513598344,0.03338376822960155
-22.0,0.0,7.023333333,-4.666666667,0.8666135463488192,-0.5864676853910488
0.0,5.5,12.46666667,13.89666667,1.9186630481721068,0.8395870630304374
0.0,11.0,16.56666667,6.79,1.8400478450648017,0.3889766488145367
0.0,16.5,15.38666667,-8.76,1.8196391903464373,-0.5175582208494321
0.0,22.0,0.473333333,-1.246666667,0.1370466593434304,-1.2079297172011776
0.0,-5.5,1.016666667,7.56,0.7839515226945066,1.4371186037673014
0.0,-11.0,16.72666667,6.276666667,1.8360810935528062,0.3589890442063098
0.0,-16.5,9.53,2.163333333,1.0043363799681329,0.22321958222970076
0.0,-22.0,15.84,-12.48666667,2.0728977944888043,-0.6675657609264226
5.5,-22.0,14.99333333,-11.55333333,1.9452993882499217,-0.6565331289664549
11.0,-22.0,6.083333333,-9.54,1.1628183575794553,-1.0031407024392165
16.5,-22.0,3.31,-0.27,0.3413056716914576,-0.08139079606683444
22.0,-22.0,7.183333333,6.363333333,0.9862501232598603,0.7249404356095025
-5.5,-22.0,17.45333333,-8.506666667,1.9954271268616715,-0.4535128209652184
-11.0,-22.0,11.74,2.736666667,1.2388923340482625,0.22901650698754691
-16.5,-22.0,3.876666667,-6.47,0.7751598736675019,-1.030983162625528
-22.0,-22.0,5.99,1.37,0.6315011952491997,0.22484715499646163
5.5,-16.5,10.64,-0.883333333,1.0972575578431176,-0.08283010116654484
11.0,-16.5,9.13,-6.2,1.1342102148043665,-0.596547256107754
16.5,-16.5,-0.53,-5.473333333,0.5651372878115433,-1.6673284915976936
22.0,-16.5,-1.563333333,9.306666667,0.969866684497806,1.7372225134907
-5.5,-16.5,9.196666667,-0.88,0.9494782704002396,-0.0953964016082086
-11.0,-16.5,9.9,-5.186666667,1.1486207776205466,-0.4825887800398198
-16.5,-16.5,4.696666667,-6.296666667,0.8073122800381476,-0.9299261208594932
-22.0,-16.5,-5.073333333,-0.26,0.5220816166076683,-3.090389091721196
5.5,-11.0,17.96,1.256666667,1.8503006193326679,0.06985645077111895
11.0,-11.0,21.64666667,-2.353333333,2.237782667207611,-0.10829044168260665
16.5,-11.0,12.64,-11.98,1.789799912331428,-0.7585971086779227
22.0,-11.0,1.216666667,-7.196666667,0.7501120039046089,-1.4033201514810179
-5.5,-11.0,15.70333333,8.293333333,1.8251073678541772,0.48589414825234767
-11.0,-11.0,18.5,1.893333333,1.9112158012703213,0.10198726143106408
-16.5,-11.0,21.00333333,-6.686666667,2.265307801928653,-0.3082165394015211
-22.0,-11.0,5.543333333,-13.23666667,1.4748354404646624,-1.1742005742912147
5.5,-5.5,2.033333333,8.343333333,0.8825588153307683,1.3317486805749272
11.0,-5.5,9.68,6.736666667,1.2120365199569914,0.607993667509197
16.5,-5.5,9.026666667,-2.813333333,0.9717026805321765,-0.30212773883807764
22.0,-5.5,-0.223333333,-0.26,0.03522518624600892,-2.2804774501142644
-5.5,-5.5,2.57,9.173333333,0.9790628786890258,1.2976393697273003
-11.0,-5.5,11.06,8.13,1.410715742893366,0.6338846195762612
-16.5,-5.5,13.78333333,1.313333333,1.422958700201337,0.09499735645629033
-22.0,-5.5,4.13,-5.6,0.715111770735367,-0.9353433339708936
5.5,5.5,13.09,12.17333333,1.8371168956826325,0.7491296040416853
11.0,5.5,15.43333333,6.56,1.723453628302575,0.40191638145642156
16.5,5.5,14.34333333,-1.796666667,1.4856147695023818,-0.12461240957416887
22.0,5.5,7.646666667,-2.996666667,0.8440561031809032,-0.373497146129457
-5.5,5.5,14.35,11.72333333,1.9043627709176245,0.6849954080231893
-11.0,5.5,15.46666667,7.133333333,1.750455057259139,0.4321344020495101
-16.5,5.5,18.47333333,-0.27,1.898746931774072,-0.014614621631005346
-22.0,5.5,11.59666667,-6.95,1.3894596032797633,-0.5399121006102187
5.5,11.0,12.68666667,4.51,1.3837712119351517,0.34155847152058466
11.0,11.0,15.61333333,-2.56,1.6260417554985016,-0.16251637540989222
16.5,11.0,6.773333333,-4.833333333,0.8551677573586021,-0.6197838065808609
22.0,11.0,2.756666667,4.13,0.5103142857916555,0.9822351680457084
-5.5,11.0,17.19333333,1.603333333,1.7746622183221383,0.09298428574668811
-11.0,11.0,14.19666667,-2.463333333,1.4808227602997404,-0.1718043429647693
-16.5,11.0,13.67666667,-3.793333333,1.4586427179622306,-0.270557128860701
-22.0,11.0,3.813333333,-2.93,0.49423051664977297,-0.6551462222311939
5.5,16.5,11.18333333,-10.77666667,1.5961262114584864,-0.7668817616329174
11.0,16.5,7.463333333,-8.09,1.1311915450360286,-0.8256678517501412
16.5,16.5,3.943333333,-1.08,0.42018952979388813,-0.26732462652304323
22.0,16.5,7.96,4.4,0.9347272415712463,0.5049626682552143
-5.5,16.5,16.69,-7.333333333,1.8735390283119207,-0.41399139344215563
