x_pos,y_pos,x_comp,y_comp,x1,y1,x2,y2,x3,y3,R(amp),
-11,11,14.19666667,-2.463333333,14.22,-2.19,14.24,-2.71,14.13,-2.49,14.40879438,
-16.5,11,13.67666667,-3.793333333,13.75,-3.84,13.62,-3.78,13.66,-3.76,14.19297675,
-22,11,3.813333333,-2.93,3.79,-3,3.8,-2.96,3.85,-2.83,4.808992734,
5.5,16.5,11.18333333,-10.77666667,11.16,-10.71,11.11,-10.81,11.28,-10.81,15.53072725,
11,16.5,7.463333333,-8.09,7.76,-8.09,7.24,-8.05,7.39,-8.13,11.00679083,
16.5,16.5,3.943333333,-1.08,4.04,-0.91,3.91,-1.12,3.88,-1.21,4.088554485,
22,16.5,7.96,4.4,7.99,4.19,7.8,4.53,8.09,4.48,9.09514156,
-5.5,16.5,16.69,-7.333333333,17.02,-7.44,16.6,-7.33,16.45,-7.23,18.23002682,
-11,16.5,16.52666667,-7.553333333,16.62,-7.26,16.5,-7.59,16.46,-7.81,18.17095362,
-16.5,16.5,8.05,-6.266666667,8.01,-6.12,8.05,-6.24,8.09,-6.44,10.20164747,
-22,16.5,1.426666667,0.436666667,1.24,0.18,1.39,0.34,1.65,0.79,1.49199717,
5.5,22,-0.61,2.206666667,-0.65,2.28,-0.62,2.15,-0.56,2.19,2.289427391,
11,22,-0.09,5.786666667,-0.01,6.14,-0.17,5.53,-0.09,5.69,5.787366509,
16.5,22,6.003333333,10.19666667,6.13,10.11,6.02,10.24,5.86,10.24,11.83266759,
22,22,16.52333333,9.576666667,16.37,9.39,16.6,9.66,16.6,9.68,19.09798651,
-5.5,22,2.33,-3.09,2.29,-3.07,2.31,-3.04,2.39,-3.16,3.87001292,
-11,22,2.81,-0.273333333,2.99,-0.2,2.86,-0.28,2.58,-0.34,2.823262494,
-16.5,22,3.083333333,3.75,3.18,3.74,3.08,3.77,2.99,3.74,4.854837221,
-22,22,8.976666667,11.93,9.06,12.13,9.03,11.94,8.84,11.72,14.93001823,
