x_pos,y_pos,x_comp,y_comp,x1,y1,x2,y2,x3,y3,R(amp),
0,0,0.91,-12.61666667,1.03,-12.68,0.84,-12.44,0.86,-12.73,12.6494418,03/24/26
5.5,0,-1.993333333,-8.376666667,-1.93,-8.56,-1.98,-8.41,-2.07,-8.16,8.610570377,
11,0,-3.733333333,-5.323333333,-3.57,-5.41,-3.52,-5.32,-4.11,-5.24,6.501973205,
-5.5,0,0.933333333,-9.23,0.65,-9.21,1.54,-9.53,0.61,-8.95,9.277069101,
-11,0,-2.66,-5.253333333,-2.48,-5.34,-2.63,-5.2,-2.87,-5.22,5.888387819,
0,5.5,-0.43,-9.2,-0.48,-9.59,-0.46,-9.41,-0.35,-8.6,9.210043431,
0,11,1.503333333,-1.176666667,1.44,-1.21,1.51,-1.18,1.56,-1.14,1.909071909,
0,-5.5,-0.63,-6.006666667,-0.59,-5.91,-0.64,-6.03,-0.66,-6.08,6.039614594,
0,-11,1.3,2.51,1.4,2.78,1.21,2.47,1.29,2.28,2.826676494,
16.5,0,0.06,1.85,0.15,1.93,0.03,1.76,0,1.86,1.850972717,
22,0,4.38,4.516666667,4.44,4.6,4.3,4.43,4.4,4.52,6.291635541,
-16.5,0,-1.453333333,-2.953333333,-1.46,-2.96,-1.61,-3.06,-1.29,-2.84,3.291558226,
-22,0,2.3,1.663333333,2.32,1.51,2.24,1.59,2.34,1.89,2.838428752,
0,16.5,2.243333333,5.18,2.34,5.16,2.21,5.18,2.18,5.2,5.64490429,
0,22,8.713333333,3.833333333,8.63,3.76,8.77,3.79,8.74,3.95,9.51927635,
0,-16.5,0.906666667,1.216666667,0.73,1.49,0.93,1.18,1.06,0.98,1.51734051,
0,-22,3.74,7.976666667,3.71,8.14,3.66,7.88,3.85,7.91,8.80992685,
5.5,-22,5.33,7.173333333,5.55,7.17,5.36,7.24,5.08,7.11,8.936756185,
11,-22,8.296666667,7.033333333,8.25,6.98,8.31,7.03,8.33,7.09,10.87669323,
16.5,-22,10.47,6.046666667,10.53,6.06,10.55,6.02,10.33,6.06,12.09061941,
22,-22,12.76666667,1.483333333,12.84,1.55,12.73,1.45,12.73,1.45,12.85255055,
-5.5,-22,5.243333333,7.636666667,5.2,7.6,5.19,7.63,5.34,7.68,9.263434688,
-11,-22,6.023333333,7.393333333,5.94,7.41,6.03,7.39,6.1,7.38,9.536347426,
-16.5,-22,10.27666667,6.226666667,10.39,6.24,10.28,6.19,10.16,6.25,12.01587515,
-22,-22,15.20333333,1.263333333,15.22,1.25,15.27,1.16,15.12,1.38,15.25573189,
5.5,-16.5,3.323333333,-1.496666667,3.29,-1.47,3.33,-1.46,3.35,-1.56,3.644798425,
11,-16.5,5.763333333,-0.47,5.91,-0.44,5.95,-0.59,5.43,-0.38,5.782465833,
16.5,-16.5,5.806666667,-0.83,5.85,-0.82,5.78,-0.81,5.79,-0.86,5.865686471,
22,-16.5,8.62,3.55,8.51,3.53,8.67,3.55,8.68,3.57,9.322387033,
-5.5,-16.5,3.76,-2.463333333,3.58,-2.44,3.65,-2.47,4.05,-2.48,4.495065195,
-11,-16.5,4.113333333,-1.6,4.02,-1.2,4.14,-1.74,4.18,-1.86,4.413559914,
-16.5,-16.5,5.373333333,1.963333333,5.45,2.03,5.41,1.98,5.26,1.88,5.720785688,
-22,-16.5,9.873333333,5.6,9.89,5.75,9.85,5.59,9.88,5.46,11.35089032,
5.5,-11,3.51,-4.36,3.64,-4.28,3.48,-4.34,3.41,-4.46,5.597293989,
11,-11,2.983333333,-3.95,3,-3.93,2.96,-3.99,2.99,-3.93,4.950028058,
16.5,-11,3.94,0.46,4.03,0.58,3.94,0.45,3.85,0.35,3.966761904,
22,-11,6.666666667,-5.436666667,6.68,-5.3,6.69,-5.33,6.63,-5.68,8.602429243,
