x_pos,y_pos,x_comp,y_comp,x1,y1,x2,y2,x3,y3,R(amp),
-5.5,-11,2.596666667,-5.223333333,2.7,-5.34,2.58,-5.2,2.51,-5.13,5.833171426,
-11,-11,1.583333333,-4.25,1.67,-4.4,1.81,-4.47,1.27,-3.88,4.535354941,
-16.5,-11,1.456666667,0.98,1.53,0.84,1.49,1.01,1.35,1.09,1.7556417,
-22,-11,5.016666667,8.533333333,5.01,8.54,4.98,8.55,5.06,8.51,9.898723262,
5.5,-5.5,0.956666667,-9.133333333,0.88,-9.08,0.96,-9.09,1.03,-9.23,9.183299455,
11,-5.5,-0.95,-5.813333333,-0.86,-6.04,-0.93,-6.04,-1.06,-5.36,5.890445182,
16.5,-5.5,-0.92,-0.806666667,-0.92,-0.82,-0.94,-0.79,-0.9,-0.81,1.223564919,
22,-5.5,1.736666667,3.863333333,1.78,3.78,1.68,3.85,1.75,3.96,4.235723735,
-5.5,-5.5,4.216666667,-7.373333333,4.19,-7.36,4.23,-7.36,4.23,-7.4,8.493899118,
-11,-5.5,0.84,-6.05,0.8,-5.91,0.83,-5.96,0.89,-6.28,6.108035691,
-16.5,-5.5,-1.573333333,-0.85,-1.57,-0.88,-1.64,-0.78,-1.51,-0.89,1.788261104,
-22,-5.5,0.406666667,5.62,0.37,5.48,0.46,5.74,0.39,5.64,5.634694116,
5.5,5.5,0.55,-7.61,0.56,-7.54,0.51,-7.62,0.58,-7.67,7.629849278,
11,5.5,0.36,-6.06,0.41,-6.07,0.38,-6.03,0.29,-6.08,6.070683652,
16.5,5.5,2.033333333,-0.063333333,1.93,-0.11,2,-0.04,2.17,-0.04,2.034319433,
22,5.5,6.303333333,4.153333333,6.28,4.21,6.25,4.15,6.38,4.1,7.548654773,
-5.5,5.5,3.06,-7.78,3.09,-7.8,3.03,-7.73,3.06,-7.81,8.360143539,
-11,5.5,-0.043333333,-6.146666667,-0.04,-6.08,-0.02,-6.15,-0.07,-6.21,6.146819412,
-16.5,5.5,0.513333333,-3.696666667,0.53,-3.71,0.5,-3.71,0.51,-3.67,3.732138202,
-22,5.5,2.843333333,1.036666667,2.79,1.2,2.78,1.05,2.96,0.86,3.026420695,
5.5,11,-0.716666667,1.646666667,-0.71,1.85,-0.73,1.71,-0.71,1.38,1.795862529,
11,11,-0.146666667,2,-0.19,1.98,-0.14,2.09,-0.11,1.93,2.005370567,
16.5,11,4.39,5.313333333,4.43,5.28,4.38,5.38,4.36,5.28,6.892286349,
22,11,10.35666667,8.356666667,10.34,8.26,10.35,8.38,10.38,8.43,13.30768283,
-5.5,11,1.71,-0.053333333,1.78,-0.03,1.7,-0.06,1.65,-0.07,1.710831507,
-11,11,0.636666667,1.076666667,0.74,1.19,0.53,1.06,0.64,0.98,1.250821952,
-16.5,11,1.67,4.996666667,1.76,4.91,1.66,4.99,1.59,5.09,5.268356269,
-22,11,6.176666667,8.29,6.19,8.23,6.18,8.33,6.16,8.31,10.33805161,
5.5,16.5,-0.18,4.376666667,-0.25,4.1,-0.09,4.72,-0.2,4.31,4.38036655,
11,16.5,2.966666667,6.506666667,2.89,6.48,3.03,6.55,2.98,6.49,7.151071404,
16.5,16.5,7.113333333,8.786666667,7.05,8.88,7.11,8.68,7.18,8.8,11.30508833,
22,16.5,14.17333333,8.486666667,13.86,8.29,14.35,8.64,14.31,8.53,16.51989373,
-5.5,16.5,2.176666667,-3.203333333,2.16,-3.14,2.26,-3.23,2.11,-3.24,3.872882934,
-11,16.5,2.323333333,4.75,2.3,4.7,2.31,4.79,2.36,4.76,5.287757349,
-16.5,16.5,4.25,9.11,4.25,9.11,4.24,9.11,4.26,9.11,10.05259171,
-22,16.5,10.03333333,9.05,10.01,9.02,10.09,9.04,10,9.09,13.51185693,
5.5,22,9.553333333,2.323333333,9.54,2.34,9.55,2.3,9.57,2.33,9.831788014,
11,22,11.97,2.373333333,11.9,2.41,12,2.35,12.01,2.36,12.20301648,
16.5,22,14.77,3.44,14.83,3.53,14.78,3.45,14.7,3.34,15.1653058,
22,22,15.97333333,-0.113333333,15.92,-0.13,16.08,-0.04,15.92,-0.17,15.97373539,
-5.5,22,10.77,-1.446666667,10.57,-1.44,10.79,-1.44,10.95,-1.46,10.86672648,
-11,22,10,-1.533333333,9.96,-1.55,10.01,-1.56,10.03,-1.49,10.1168726,
-16.5,22,11.07333333,0.72,10.93,0.9,11.11,0.58,11.18,0.68,11.09671623,
-22,22,14.91666667,-2.036666667,14.85,-2.1,14.93,-2.01,14.97,-2,15.05506412,
